iShares Russell 1000 ETF
Fund Holdings as of,"Sep 18, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"123,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","48,262,622.28","0.16","48,262,622.28","416,452.00","115.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","47,868,126.02","0.16","47,868,126.02","299,494.00","159.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","47,141,721.99","0.16","47,141,721.99","199,053.00","236.83","United States","NASDAQ","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","46,462,965.96","0.15","46,462,965.96","105,473.00","440.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","46,101,118.86","0.15","46,101,118.86","100,986.00","456.51","United States","NASDAQ","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","45,911,903.70","0.15","45,911,903.70","1,476,267.00","31.10","United States","NASDAQ","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","45,539,340.75","0.15","45,539,340.75","175,185.00","259.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","44,660,639.80","0.15","44,660,639.80","604,748.00","73.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","43,618,372.36","0.14","43,618,372.36","92,018.00","474.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","42,689,262.03","0.14","42,689,262.03","99,907.00","427.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","42,585,675.30","0.14","42,585,675.30","170,821.00","249.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","42,574,125.55","0.14","42,574,125.55","298,661.00","142.55","United States","NASDAQ","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","42,271,279.34","0.14","42,271,279.34","1,051,786.00","40.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","41,964,298.46","0.14","41,964,298.46","421,286.00","99.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","41,583,897.55","0.14","41,583,897.55","339,599.00","122.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","41,001,992.65","0.14","41,001,992.65","44,119.00","929.35","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"MMM","3M","Industrials","Equity","40,932,314.40","0.13","40,932,314.40","405,110.00","101.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","40,450,054.32","0.13","40,450,054.32","338,948.00","119.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","40,433,239.20","0.13","40,433,239.20","180,240.00","224.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","40,349,343.60","0.13","40,349,343.60","171,495.00","235.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","40,162,003.60","0.13","40,162,003.60","116,954.00","343.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","39,226,217.00","0.13","39,226,217.00","1,128,812.00","34.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","39,137,426.76","0.13","39,137,426.76","20,191.00","1,938.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","38,766,762.24","0.13","38,766,762.24","77,664.00","499.16","United States","NASDAQ","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","38,536,519.84","0.13","38,536,519.84","150,704.00","255.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","37,944,300.60","0.12","37,944,300.60","259,395.00","146.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","37,258,739.06","0.12","37,258,739.06","94,121.00","395.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","37,033,284.33","0.12","37,033,284.33","429,471.00","86.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNOW","SNOWFLAKE CLASS A","Information Technology","Equity","36,775,242.45","0.12","36,775,242.45","227,781.00","161.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
